,Primary Instructor,Course Title,Number,YearTerm,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course,ACP,CS,HUM,NAT,QR,SBS
19,"Lehman, David B",World Religions,110.0,2019-fa,11.0,22.0,10.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHIL 110,,NW,HP,,,
20,"Lehman, David B",World Religions,110.0,2019-fa,11.0,22.0,10.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,REL 110,,NW,HP,,,
21,"Marshall, Levi Y",World Religions,110.0,2019-fa,46.0,21.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,PHIL 110,,NW,HP,,,
22,"Marshall, Levi Y",World Religions,110.0,2019-fa,46.0,21.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,REL 110,,NW,HP,,,
23,"Wenneborg, Emily",World Religions,110.0,2019-fa,16.0,15.0,5.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PHIL 110,,NW,HP,,,
24,"Wenneborg, Emily",World Religions,110.0,2019-fa,16.0,15.0,5.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,REL 110,,NW,HP,,,
25,"Adamo, Elizabeth L",20thC World to Midcentury,258.0,2019-fa,14.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,HIST 258,,WCC,HP,,,
26,"Adams, Chase M",Intro to Language Science,100.0,2018-fa,7.0,21.0,11.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,LING 100,,,,,,SS
27,"Chen, Chung-Yu",Intro to Language Science,100.0,2018-fa,4.0,8.0,5.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,LING 100,,,,,,SS
28,"Sun, Yan",Intro to Language Science,100.0,2018-fa,10.0,16.0,7.0,8.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,LING 100,,,,,,SS
29,"Adamson, Brynn C",Foundations of Health Behavior,304.0,2018-fa,35.0,55.0,18.0,7.0,11.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,CHLH 304,ACP,,,,,BSC
30,"DiFilippo, Kristen N",Foundations of Health Behavior,304.0,2018-fa,12.0,20.0,6.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CHLH 304,ACP,,,,,BSC
31,"Adamson, Brynn C",Foundations of Health Behavior,304.0,2019-fa,24.0,38.0,16.0,15.0,16.0,6.0,7.0,4.0,1.0,1.0,1.0,2.0,7.0,0.0,CHLH 304,ACP,,,,,BSC
32,"Adovor Tsikudo, Alexander",Global Development&Environment,101.0,2019-fa,80.0,67.0,6.0,3.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,GEOG 101,,NW,,,,SS
33,"Adovor Tsikudo, Alexander",Social & Environmental Issues,210.0,2019-fa,1.0,29.0,17.0,5.0,17.0,2.0,1.0,5.0,1.0,0.0,1.0,2.0,2.0,0.0,ESE 210,,,,,,SS
34,"Adovor Tsikudo, Alexander",Social & Environmental Issues,210.0,2019-fa,1.0,29.0,17.0,5.0,17.0,2.0,1.0,5.0,1.0,0.0,1.0,2.0,2.0,0.0,GEOG 210,,,,,,SS
35,"Ahmed, Iftikhar",Calculus,220.0,2018-fa,1.0,9.0,9.0,7.0,4.0,9.0,4.0,1.0,5.0,1.0,0.0,1.0,2.0,0.0,MATH 220,,,,,QR1,
36,"Murphy, Robert F",Calculus,220.0,2018-fa,30.0,101.0,28.0,31.0,92.0,30.0,39.0,58.0,18.0,17.0,40.0,12.0,56.0,6.0,MATH 220,,,,,QR1,
37,"Ahmed, Iftikhar",Calculus,220.0,2019-fa,1.0,6.0,6.0,11.0,9.0,7.0,4.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,MATH 220,,,,,QR1,
38,"Murphy, Robert F",Calculus,220.0,2019-fa,50.0,99.0,33.0,36.0,108.0,37.0,36.0,78.0,15.0,14.0,30.0,11.0,55.0,9.0,MATH 220,,,,,QR1,
39,"Ahmed, Iftikhar",Calculus III,241.0,2018-fa,7.0,16.0,18.0,26.0,22.0,22.0,12.0,15.0,7.0,2.0,0.0,2.0,1.0,0.0,MATH 241,,,,,QR2,
40,"Allen, Patrick B",Calculus III,241.0,2018-fa,16.0,49.0,61.0,56.0,49.0,48.0,36.0,25.0,22.0,13.0,6.0,10.0,4.0,2.0,MATH 241,,,,,QR2,
41,"Dunfield, Nathan M",Calculus III,241.0,2018-fa,24.0,52.0,77.0,71.0,59.0,51.0,51.0,35.0,22.0,18.0,5.0,3.0,9.0,3.0,MATH 241,,,,,QR2,
42,"Pascaleff, James",Calculus III,241.0,2018-fa,25.0,38.0,63.0,56.0,58.0,42.0,49.0,43.0,21.0,14.0,12.0,8.0,9.0,0.0,MATH 241,,,,,QR2,
43,"Skabelund, Dane C",Calculus III,241.0,2018-fa,4.0,19.0,13.0,15.0,8.0,15.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,0.0,MATH 241,,,,,QR2,
44,"Ahmed, Iftikhar",Calculus III,241.0,2019-fa,1.0,13.0,17.0,15.0,16.0,30.0,8.0,9.0,16.0,8.0,2.0,6.0,3.0,0.0,MATH 241,,,,,QR2,
45,"Baluyot, Siegfred Alan C",Calculus III,241.0,2019-fa,7.0,19.0,24.0,18.0,12.0,7.0,6.0,8.0,13.0,2.0,2.0,1.0,1.0,0.0,MATH 241,,,,,QR2,
46,"Dunfield, Nathan M",Calculus III,241.0,2019-fa,20.0,51.0,83.0,52.0,57.0,73.0,49.0,35.0,25.0,13.0,12.0,8.0,12.0,2.0,MATH 241,,,,,QR2,
47,"Heller, Jeremiah B",Calculus III,241.0,2019-fa,18.0,48.0,54.0,64.0,56.0,44.0,36.0,26.0,22.0,14.0,7.0,8.0,9.0,1.0,MATH 241,,,,,QR2,
48,"Leininger, Christopher J",Calculus III,241.0,2019-fa,23.0,73.0,70.0,69.0,62.0,46.0,45.0,32.0,25.0,7.0,6.0,9.0,8.0,1.0,MATH 241,,,,,QR2,
49,"Ahn, Sungyong",Intro to the Media,101.0,2018-fa,1.0,8.0,28.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,MACS 101,ACP,,,,,
50,"Faust, Ted R",Intro to the Media,101.0,2018-fa,10.0,25.0,8.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MACS 101,ACP,,,,,
51,"Knipp, Jonathan A",Intro to the Media,101.0,2018-fa,0.0,16.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MACS 101,ACP,,,,,
52,"Malo, Gabriel R",Intro to the Media,101.0,2018-fa,10.0,21.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MACS 101,ACP,,,,,
53,"McSwain, Megan",Intro to the Media,101.0,2018-fa,22.0,11.0,11.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,MACS 101,ACP,,,,,
54,"Valkanova, Dora R",Intro to the Media,101.0,2018-fa,0.0,3.0,7.0,8.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,MACS 101,ACP,,,,,
55,"Ahn, Sungyong",Intro to the Media,101.0,2019-fa,4.0,22.0,12.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MACS 101,ACP,,,,,
56,"Carrillo Fuchs, David E",Intro to the Media,101.0,2019-fa,30.0,8.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MACS 101,ACP,,,,,
57,"Malo, Gabriel R",Intro to the Media,101.0,2019-fa,15.0,22.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MACS 101,ACP,,,,,
58,"McSwain, Megan",Intro to the Media,101.0,2019-fa,7.0,14.0,16.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MACS 101,ACP,,,,,
59,"Peng, Anqi",Intro to the Media,101.0,2019-fa,4.0,24.0,10.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,MACS 101,ACP,,,,,
60,"Yang, Chamee",Intro to the Media,101.0,2019-fa,0.0,17.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,MACS 101,ACP,,,,,
61,"Akresh, Ilana R",Intro to Social Statistics,280.0,2019-fa,1.0,6.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,GEOG 280,,,,,QR1,
62,"Akresh, Ilana R",Intro to Social Statistics,280.0,2019-fa,1.0,6.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,SOC 280,,,,,QR1,
63,"Al-Ghaithi, Salah H",Intro to Health Communication,260.0,2018-fa,5.0,8.0,8.0,5.0,10.0,11.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,CMN 260,,WCC,,,,BSC
64,"Williamson, Lillie D",Intro to Health Communication,260.0,2018-fa,4.0,12.0,11.0,4.0,13.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,CMN 260,,WCC,,,,BSC
65,"Albarracin, Dolores",Intro to Social Psych,201.0,2018-fa,35.0,61.0,64.0,33.0,77.0,64.0,18.0,31.0,24.0,6.0,16.0,6.0,10.0,8.0,PSYC 201,,,,,,BSC
66,"Albert, Sarah D",Companion Animals in Society,250.0,2018-fa,138.0,63.0,27.0,22.0,16.0,10.0,5.0,5.0,8.0,0.0,5.0,0.0,3.0,1.0,ANSC 250,,WCC,,,,
67,"Alexander, Alishia",Introduction to Sociology,100.0,2019-fa,1.0,8.0,10.0,12.0,7.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,SOC 100,,,,,,SS
68,"Avalos, Miguel A",Introduction to Sociology,100.0,2019-fa,1.0,14.0,3.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,SOC 100,,,,,,SS
69,"Elmeligy, Nehal M",Introduction to Sociology,100.0,2019-fa,2.0,17.0,12.0,14.0,17.0,7.0,3.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,SOC 100,,,,,,SS
70,"Hernandez, Jessennya",Introduction to Sociology,100.0,2019-fa,4.0,21.0,9.0,12.0,13.0,8.0,6.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,SOC 100,,,,,,SS
71,"Levine, Patrick A",Introduction to Sociology,100.0,2019-fa,12.0,22.0,17.0,10.0,7.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,SOC 100,,,,,,SS
72,"Peach, Matthew",Introduction to Sociology,100.0,2019-fa,3.0,11.0,5.0,6.0,13.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,SOC 100,,,,,,SS
73,"Steward, Daniel J",Introduction to Sociology,100.0,2019-fa,0.0,46.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,SOC 100,,,,,,SS
74,"Thomas, Merin A",Introduction to Sociology,100.0,2019-fa,3.0,18.0,22.0,16.0,17.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,SOC 100,,,,,,SS
75,"Ali, Tariq O",20thC World from Midcentury,259.0,2018-fa,0.0,11.0,16.0,9.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIST 259,,WCC,HP,,,
76,"Ali, Tariq O",History of South Asia,130.0,2018-fa,0.0,9.0,8.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ANTH 130,,NW,HP,,,
77,"Ali, Tariq O",History of South Asia,130.0,2018-fa,0.0,9.0,8.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,HIST 130,,NW,HP,,,
78,"Allen, Crystal A",Life With Animals and Biotech,110.0,2018-fa,2.0,39.0,6.0,5.0,14.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,ANSC 110,,,,LS,,
79,"Allen, Crystal A",Life With Animals and Biotech,110.0,2019-fa,5.0,27.0,6.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,ANSC 110,,,,LS,,
80,"Allen, Patrick B",Fundamental Mathematics,347.0,2019-fa,0.0,8.0,6.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,MATH 347,,,,,QR2,
81,"Beckwith, Olivia D",Fundamental Mathematics,347.0,2019-fa,2.0,6.0,4.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,MATH 347,,,,,QR2,
82,"Ford, Kevin",Fundamental Mathematics,347.0,2019-fa,2.0,11.0,2.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,MATH 347,,,,,QR2,
83,"Heleodoro, Aron A",Fundamental Mathematics,347.0,2019-fa,6.0,9.0,7.0,8.0,3.0,3.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,MATH 347,,,,,QR2,
84,"Kutzarova-Ford, Denka N",Fundamental Mathematics,347.0,2019-fa,6.0,17.0,5.0,5.0,11.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,MATH 347,,,,,QR2,
85,"Lutzer, David J",Fundamental Mathematics,347.0,2019-fa,1.0,6.0,2.0,2.0,6.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,2.0,MATH 347,,,,,QR2,
86,"Tang, Shiang",Fundamental Mathematics,347.0,2019-fa,2.0,5.0,0.0,1.0,5.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,MATH 347,,,,,QR2,
87,"Allison, Evvie D",Intro to Contemporary Dance,100.0,2018-fa,6.0,12.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,DANC 100,,WCC,LA,,,
88,"Beck, Kenneth D",Intro to Contemporary Dance,100.0,2018-fa,36.0,46.0,7.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,DANC 100,,WCC,LA,,,
89,"Chiaramonte, Laura J",Intro to Contemporary Dance,100.0,2018-fa,27.0,37.0,18.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,DANC 100,,WCC,LA,,,
90,"Fox, Kaitlin M",Intro to Contemporary Dance,100.0,2018-fa,6.0,10.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DANC 100,,WCC,LA,,,
91,"Allred, Dustin",Urban Sustainability,126.0,2019-fa,3.0,9.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,UP 136,,,,,,SS
92,"Altaner, Stephen P",Natural Disasters,118.0,2018-fa,67.0,39.0,42.0,34.0,24.0,23.0,16.0,12.0,7.0,7.0,2.0,3.0,7.0,1.0,ESE 118,,,,PS,,
93,"Altaner, Stephen P",Natural Disasters,118.0,2018-fa,67.0,39.0,42.0,34.0,24.0,23.0,16.0,12.0,7.0,7.0,2.0,3.0,7.0,1.0,GEOL 118,,,,PS,,
94,"Altaner, Stephen P",Natural Disasters,118.0,2018-fa,67.0,39.0,42.0,34.0,24.0,23.0,16.0,12.0,7.0,7.0,2.0,3.0,7.0,1.0,GLBL 118,,,,PS,,
95,"Altaner, Stephen P",Natural Disasters,118.0,2019-fa,81.0,38.0,40.0,23.0,32.0,19.0,20.0,16.0,5.0,3.0,2.0,5.0,5.0,1.0,ESE 118,,,,PS,,
96,"Altaner, Stephen P",Natural Disasters,118.0,2019-fa,81.0,38.0,40.0,23.0,32.0,19.0,20.0,16.0,5.0,3.0,2.0,5.0,5.0,1.0,GEOL 118,,,,PS,,
97,"Altaner, Stephen P",Natural Disasters,118.0,2019-fa,81.0,38.0,40.0,23.0,32.0,19.0,20.0,16.0,5.0,3.0,2.0,5.0,5.0,1.0,GLBL 118,,,,PS,,
98,"An, Ruopeng",Health Data Analysis,421.0,2018-fa,43.0,34.0,8.0,6.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,CHLH 421,,,,,QR2,
99,"Anastasio, Thomas J",Society and the Brain,170.0,2018-fa,37.0,58.0,19.0,11.0,9.0,4.0,2.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,MCB 170,,,,LS,,
100,"Anastasio, Thomas J",Society and the Brain,170.0,2019-fa,19.0,35.0,10.0,5.0,5.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,MCB 170,,,,LS,,
101,"Anderson, Brianna L",Intro to Human Development,105.0,2018-fa,51.0,30.0,11.0,7.0,5.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,HDFS 105,,,,,,BSC
102,"Brooks, Jan D",Intro to Human Development,105.0,2018-fa,11.0,195.0,0.0,0.0,45.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,3.0,1.0,HDFS 105,,,,,,BSC
103,"Anderson, James D",Race and Cultural Diversity,310.0,2018-fa,16.0,39.0,7.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,AAS 310,ACP,US,,,,
104,"Anderson, James D",Race and Cultural Diversity,310.0,2018-fa,16.0,39.0,7.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,AFRO 310,ACP,US,,,,
105,"Anderson, James D",Race and Cultural Diversity,310.0,2018-fa,16.0,39.0,7.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,EPS 310,ACP,US,,,,
106,"Anderson, James D",Race and Cultural Diversity,310.0,2018-fa,16.0,39.0,7.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,LLS 310,ACP,US,,,,
107,"Anderson, James D",Race and Cultural Diversity,310.0,2019-fa,10.0,38.0,4.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,AAS 310,ACP,US,,,,
108,"Anderson, James D",Race and Cultural Diversity,310.0,2019-fa,10.0,38.0,4.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,AFRO 310,ACP,US,,,,
109,"Anderson, James D",Race and Cultural Diversity,310.0,2019-fa,10.0,38.0,4.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,EPS 310,ACP,US,,,,
110,"Anderson, James D",Race and Cultural Diversity,310.0,2019-fa,10.0,38.0,4.0,8.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,LLS 310,ACP,US,,,,
111,"Andino Martinez, Jose G",General Chemistry I,102.0,2019-fa,4.0,16.0,13.0,30.0,36.0,31.0,25.0,32.0,23.0,8.0,13.0,8.0,5.0,1.0,CHEM 102,,,,PS,,
112,"Gunasekera, Mutha Merenna",General Chemistry I,102.0,2019-fa,9.0,36.0,25.0,61.0,60.0,45.0,96.0,56.0,31.0,16.0,13.0,9.0,10.0,5.0,CHEM 102,,,,PS,,
113,"Huang, Tina H",General Chemistry I,102.0,2019-fa,2.0,53.0,26.0,60.0,71.0,27.0,63.0,48.0,59.0,24.0,5.0,13.0,18.0,1.0,CHEM 102,,,,PS,,
114,"Hummel, Thomas J",General Chemistry I,102.0,2019-fa,9.0,41.0,25.0,44.0,68.0,60.0,64.0,64.0,46.0,17.0,28.0,12.0,16.0,4.0,CHEM 102,,,,PS,,
115,"Andino Martinez, Jose G",Introductory Chemistry,101.0,2018-fa,2.0,42.0,30.0,60.0,100.0,66.0,60.0,82.0,53.0,31.0,21.0,23.0,22.0,2.0,CHEM 101,,,,PS,,
116,"McCarren, Elise M",Introductory Chemistry,101.0,2018-fa,5.0,56.0,31.0,40.0,56.0,34.0,39.0,33.0,23.0,9.0,9.0,7.0,18.0,2.0,CHEM 101,,,,PS,,
117,"Andrade, Flavia C",Death & Dying,240.0,2019-fa,7.0,12.0,11.0,7.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0,0.0,2.0,0.0,SOCW 240,,,,,,SS
118,"Manselle, Tonya L",Death & Dying,186.0,2019-fa,0.0,7.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,SOCW 240,,,,,,SS
119,"Angulo Jimenez, Henry Gio",Comm Disability in the Media,270.0,2018-fa,0.0,98.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SHS 270,ACP,,,,,SS
120,"Arnold, Dexter P",Introduction to Labor Studies,100.0,2018-fa,0.0,6.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,LER 100,,,,,,SS
121,"Cohen, Margaret L",Introduction to Labor Studies,100.0,2018-fa,0.0,6.0,6.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,LER 100,,,,,,SS
122,"Franklin, Stephen",Introduction to Labor Studies,100.0,2018-fa,0.0,3.0,3.0,1.0,5.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,9.0,2.0,LER 100,,,,,,SS
123,"Stewart, Beverly L",Introduction to Labor Studies,100.0,2018-fa,0.0,8.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,LER 100,,,,,,SS
124,"Arnold, Dexter P",Introduction to Labor Studies,100.0,2019-fa,0.0,11.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,4.0,0.0,LER 100,,,,,,SS
125,"Christen, Nicholas",Introduction to Labor Studies,100.0,2019-fa,0.0,6.0,4.0,3.0,5.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,8.0,0.0,LER 100,,,,,,SS
126,"Stewart, Beverly L",Introduction to Labor Studies,100.0,2019-fa,0.0,1.0,0.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,LER 100,,,,,,SS
127,"Asaka, Ikuko",US Gender History to 1877,285.0,2018-fa,1.0,8.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,GWS 285,,,HP,,,
128,"Asaka, Ikuko",US Gender History to 1877,285.0,2018-fa,1.0,8.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,HIST 285,,,HP,,,
129,"Ashworth, Eric L",Intro to US Armed Forces,120.0,2019-fa,0.0,1.0,3.0,6.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AFAS 120,,,HP,,,
130,"Ashworth, Eric L",Intro to US Armed Forces,120.0,2019-fa,0.0,1.0,3.0,6.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MILS 120,,,HP,,,
131,"Ashworth, Eric L",Intro to US Armed Forces,120.0,2019-fa,0.0,1.0,3.0,6.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NS 120,,,HP,,,
132,"Avalos, Miguel A",Introduction to Sociology,100.0,2018-fa,2.0,20.0,12.0,16.0,12.0,10.0,6.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,SOC 100,,,,,,SS
